DEPART_NORMAL__HDDS_FROM_XN__BASE_OF_65_F,COLDEST_WIND_CHILL__F,NORMAL_GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,DEPART_NORMAL__EDDS_FROM_XN__BASE_OF_65_F,COLDEST_WINDCHILL_TEMP__F,MINIMUM_FEELS_LIKE_TEMP__F,AVG_HEAT_INDEX_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F,LOWEST_WET_BULB_TEMP__F,NORMAL_AVG_DAILY_WET_BULB_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F
4.3,48.0,10.4,4.5,44.8,44.8,53.8,54.0,46.8,51.1,54.0
8.8,46.0,11.0,9.2,45.5,45.5,52.5,52.7,44.2,51.4,52.7
0.5,50.0,11.0,0.5,50.0,50.0,58.8,59.2,49.5,51.6,59.2
-3.4,46.9,11.0,-3.6,46.9,46.9,64.9,64.9,46.0,51.6,64.9
-3.4,51.1,11.5,-3.6,51.1,51.1,68.5,68.7,49.5,51.8,68.7
-3.4,53.1,11.5,-3.6,52.9,52.9,64.4,64.8,50.0,51.8,64.8
-0.7,46.9,11.9,-0.7,46.9,46.9,61.5,61.5,46.0,52.2,61.5
-2.3,54.0,12.6,-2.5,54.0,54.0,63.5,63.7,51.8,52.5,63.7
-2.3,48.0,12.6,-2.3,48.0,48.0,65.1,65.1,47.5,52.5,65.1
-2.3,52.0,12.6,-2.3,52.0,52.0,67.8,68.0,50.4,52.5,68.0
-2.3,51.1,12.6,-2.5,51.1,51.1,63.3,63.5,49.5,52.5,63.5
-1.4,50.0,13.5,-1.4,50.0,50.0,63.9,63.9,48.9,52.9,63.9
-1.4,51.1,13.5,-1.4,51.1,51.1,66.9,66.9,50.5,52.9,66.9
3.1,53.1,13.5,3.2,50.9,50.9,59.7,59.9,50.0,52.9,59.9
2.2,52.0,14.0,2.3,50.5,50.5,61.3,61.5,49.5,53.1,61.5
-0.9,55.9,14.0,-0.9,55.9,55.9,65.7,65.7,53.4,53.2,65.7
-0.5,52.0,14.4,-0.5,52.0,52.0,65.7,65.8,50.5,53.4,65.8
0.0,50.0,14.9,0.0,50.0,50.0,66.4,66.6,48.0,53.6,66.6
0.0,50.0,14.9,0.0,48.2,48.2,63.5,63.7,45.0,53.6,63.7
7.0,45.0,14.9,7.4,45.0,45.0,58.6,59.0,42.3,53.8,59.0
0.0,46.9,15.5,0.0,46.9,46.9,65.7,65.7,45.5,54.1,65.7
0.0,54.0,16.0,0.0,52.9,52.9,66.0,66.4,49.1,54.3,66.4
0.0,54.0,16.0,0.0,53.6,53.6,64.8,64.8,48.6,54.3,64.8
0.0,51.1,16.6,0.0,51.1,51.1,68.7,69.1,48.9,54.7,69.1
0.0,55.9,16.6,0.0,55.9,55.9,71.2,71.4,52.3,54.7,71.4
0.0,55.9,16.6,0.0,55.4,55.4,69.1,69.4,53.4,54.9,69.4
0.0,52.0,17.6,0.0,52.0,52.0,66.9,66.7,50.4,55.2,66.7
3.1,57.0,17.6,3.2,56.5,56.5,61.7,61.9,53.2,55.4,61.9
